Name,Assigned School,Nationality
Byrann Dooney,Beirut Arab University,INT
Guillermo Calbrathe,Kohat University of Science and Technology  (KUST),CA
Cesar Axcell,Camosun College,INT
Lucienne Dodsley,University Notre Dame d'Hatu,CA
Ophelie Nicholes,Emmanuel College Georgia,INT
Reuven Gunner,New Mexico State University,CA
Shani Lissemore,Bashkir State Agrarian University,INT
Inger Cammish,The Global College Lahore,INT
Elston Canedo,American University of Tirana,CA
Virginia Hiseman,Ateneo de Manila University,INT
Dredi Benech,Mount Union College,INT
Dotti MacGuiness,Universidad Motolinía del Pedregal,CA
Lorinda McCarlie,Institute of Social Studies,INT
Gabriel Quarrie,University du Havre,INT
Sven Dudson,Philadelphia University,CA
Dido Oehme,William Tyndale College,INT
Blanch Hort,British Columbia Open University,CA
Rawley McKeachie,Stetson University,CA
Kenton Franz-Schoninger,William Tyndale College,INT
Velvet Kee,British Columbia Open University,CA
Dur Auld,Universidad Motolinía del Pedregal,CA
Blisse Chevin,Emmanuel College Georgia,INT
Carey Cochrane,Universidad del Pacfico,CA
Mal Marcu,Antioch New England Graduate School,INT
Codi Pagon,College of Management,INT
Fredek Rubinshtein,University of Madras,CA
Rebecca Archdeckne,University of Madras,INT
Tuck Devereu,Institute of Social Studies,INT
Hayyim Ryde,Hiroshima University of Economics,CA
Andris Jewel,Philadelphia University,CA
Bethanne Marston,Antioch New England Graduate School,CA
Andriana Rouff,Universidade de Brasília,CA
Simonette Nono,University of Pittsburgh at Johnstown,CA
Meagan Epilet,William Tyndale College,CA
Margret Oby,University Notre Dame d'Hatu,INT
Harriet Weond,Antioch New England Graduate School,INT
Jorry Silbert,Horizon College of Business and Technology,CA
Beverlie Skudder,Ateneo de Manila University,CA
Garland Loftin,Middle East Technical University,CA
Leodora Kindleside,Nanjing University of Science and Technology,INT
Devina Charter,Camosun College,INT
Sylvia Lief,British Columbia Open University,CA
Andeee Maylour,Middle East Technical University,CA
Meredith Barkus,American University of Tirana,CA
Ansel Copner,Antioch New England Graduate School,INT
Zarah Dassindale,Horizon College of Business and Technology,CA
Maje Elkin,Friedrich-Schiller Universität Jena,INT
Kora Crop,Universidad Motolinía del Pedregal,INT
Iggy Haucke,Chulalongkorn University,INT
Heriberto Anespie,New Mexico State University,INT
